,0,summary
50726,10.18419892,02.26.14 CP1E S0129632 *DSNB319A  -DP71 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP4
50727,3.230025833,02.15.03 CP3B J0074524 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS
50728,6.596921107,03.53.05 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 84.00 (Enabled%Full >= 80)
50729,4.354944725,03.07.25 CP1C J0145195 *IEF099I JOB G01S131B WAITING FOR DATA SETS
50730,97.58593291,"03.01.02 CP1B J0144963  _QDEPTH ALARM:QUEUE[QR.XMITQ1.QPS2.TO.QM93] DEPTH EXCEEDS,NOW 1029748"
50731,4.526396635,03.03.26 CP2C J0098171 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS
50732,6.607452357,04.22.48 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 84.00 (Enabled%Full >= 80)
50733,7.082309302,05.51.59 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 84.30 (Enabled%Full >= 80)
50734,4.158069322,05.27.06 CP1F J0151934 *IEF099I JOB A01S804B WAITING FOR DATA SETS
50735,3.551527916,05.17.28 CP1D J0151877 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS
